,data,job_scaling,data_scaling,transfer_size_worst,transfer_time_worst,transfer_size_opt,transfer_time_opt,transfer_size_improvement,transfer_time_improvement
99,data/2w_01-05-2019,5,512,4879627528083968,180046812.2400889,4694187650521088,368745989.6934748,3.8002875525971698,-104.80561977501677
100,data/2w_01-05-2019,6,64,693917816587712,26345071.874737054,671108672350464,52283522.83550639,3.287009454435142,-98.45655796309427
101,data/2w_01-05-2019,6,128,1409835473575552,53748312.1610624,1353622437994496,102861158.35671303,3.9872053608135847,-91.37560645342478
102,data/2w_01-05-2019,6,256,2795372458185984,104128788.99782151,2686329370576128,203460215.5802789,3.900842883764331,-95.39285680594587
103,data/2w_01-05-2019,6,512,5595549441604608,206332451.5713965,5393450568695808,403650098.34441245,3.6117788792309393,-95.6309321535584
104,data/2w_01-05-2019,7,64,794839280299200,30625986.126091775,765637795169600,57030988.959220335,3.673885507848547,-86.21764120317697
105,data/2w_01-05-2019,7,128,1597536936812800,60317033.88438109,1532669690062848,113196404.29924338,4.0604536430542115,-87.6690497019868
106,data/2w_01-05-2019,7,256,3159095064673792,119895198.70576242,3031772628589568,218222605.94956043,4.030345193090013,-82.01112997452516
107,data/2w_01-05-2019,7,512,6469196694499328,243376668.69348332,6235280335568384,446317788.18462193,3.615848612700862,-83.38560987813068
108,data/2w_01-05-2019,8,64,864949472633920,33038886.683519196,830019623335552,60038136.674182765,4.038368760663047,-81.71961195088217
109,data/2w_01-05-2019,8,128,1753858067886208,66734382.670554586,1687336903731968,119810673.6265773,3.792847629592565,-79.5336509188115
110,data/2w_01-05-2019,8,256,3544751065110528,134861559.2846535,3408420089614848,237205124.80657792,3.8459957551752395,-75.88787054278893
111,data/2w_01-05-2019,8,512,6969675218458112,260893293.00647303,6700861261888000,468181491.71098715,3.8569079353683455,-79.45324937861514
112,data/2w_01-05-2019,9,64,972827430900224,37146056.40291294,933566466531776,65668175.63313765,4.035758359744968,-76.78370732239574
113,data/2w_01-05-2019,9,128,1902209774762752,72676569.873464,1829750559101696,127427284.0993283,3.8092126653114944,-75.33475275620448
114,data/2w_01-05-2019,9,256,3836825616279296,144330243.68834475,3687501297972224,249312585.74287444,3.891871386426913,-72.73759079990208
115,data/2w_01-05-2019,9,512,7665874365986304,288696184.31955224,7359406326152192,493330697.3648745,3.9978223644509376,-70.8823060920044
116,data/2w_01-05-2019,10,64,1050045905897024,40573545.37789181,1007054777983936,69388951.0251088,4.094214135939316,-71.02018169434676
117,data/2w_01-05-2019,10,128,2094213794942848,79969334.96056262,2002134107838976,134931604.28901282,4.396861835512114,-68.72918144880809
118,data/2w_01-05-2019,10,256,4161634122358272,158148511.7006208,3987714834598144,260063811.63921264,4.179110480321927,-64.44278156187782
119,data/2w_01-05-2019,10,512,8318666345728000,314926144.8555654,7983244419261952,516660102.1617108,4.032159874260396,-64.05754511066924
