,data,job_scaling,data_scaling,transfer_size_worst,transfer_time_worst,transfer_size_opt,transfer_time_opt,transfer_size_improvement,transfer_time_improvement
69,data/1w_10-05-2019,10,128,1090579967829120,29624137.411478247,1058839544044928,26757522.784359165,2.910416908479775,9.676618047310221
70,data/1w_10-05-2019,10,256,2094989758409472,56143032.58123289,2028612278711296,50960438.005404964,3.1683916082038586,9.231055640482678
71,data/1w_10-05-2019,10,512,4352892372203008,115070415.75359313,4214960157363200,105729387.26232463,3.1687485709645564,8.117662937162738
72,data/1w_17-05-2019,5,64,245949523200896,5224693.636323045,240717288177024,6333275.916879207,2.1273613202324513,-21.218129860267613
73,data/1w_17-05-2019,5,128,494371116444288,10151579.606996361,483818819469440,12351069.870143738,2.134488974749229,-21.66648293465099
74,data/1w_17-05-2019,5,256,968156583470336,20024513.823344372,952574562770688,24378545.615881734,1.6094525375011746,-21.743508136819163
75,data/1w_17-05-2019,5,512,1956995978301440,41350273.2123952,1917926199585280,49436953.620291784,1.9964158919769637,-19.556534406337402
76,data/1w_17-05-2019,6,64,284555951816448,6015385.960169864,278245506338304,7147360.589969689,2.217646630780907,-18.81798836009951
77,data/1w_17-05-2019,6,128,564026107364096,11986864.688400129,553502744072960,14149224.221517641,1.865758189867415,-18.039408880706397
78,data/1w_17-05-2019,6,256,1137763283090176,23941416.97902737,1109872045329408,28495505.838103,2.451409548479639,-19.021801688116458
79,data/1w_17-05-2019,6,512,2343459554830336,48305875.57892102,2294467359430656,58413894.34156618,2.0905927434803533,-20.925029598378597
80,data/1w_17-05-2019,7,64,333469020225664,7268904.444315067,324719744446656,8363382.178993687,2.62371472261118,-15.056983388117034
81,data/1w_17-05-2019,7,128,648201974869504,13506352.926996442,631558732888320,16167263.006994449,2.5676012456664634,-19.701173917049
82,data/1w_17-05-2019,7,256,1263833897399808,26371893.215752978,1224560173849856,31201763.91495206,3.1075067404627412,-18.314463279845253
