,Unnamed: 0,data,job_scaling,data_scaling,transfer_size_worst,transfer_time_worst,transfer_size_opt,transfer_time_opt,transfer_size_improvement,transfer_time_improvement
87,87,data/1w_03-05-2019,10,128,1431015161206656,60988824.10113242,1377287632385408,34666833.88205525,3.7545045138406534,43.15871080811415
88,88,data/1w_03-05-2019,10,256,2838184751370240,120637778.92092364,2742387810302208,68435298.73007908,3.3752891182218647,43.272083304072225
89,89,data/1w_03-05-2019,10,512,5818846250372096,249001761.0700588,5620001529129984,139341700.6992751,3.417253398461878,44.03987341275465
90,90,data/1w_10-05-2019,2,32,67040219742208,1713784.8701088766,66303458936000,1698897.1080013386,1.0989832805457544,0.8687065901446686
91,91,data/1w_10-05-2019,2,64,130010799273408,3400673.5319755888,128589576275520,3314019.1017286424,1.0931576498497018,2.548154929667869
92,92,data/1w_10-05-2019,2,128,259885144755712,6537458.766318435,257470422312064,6574294.147628978,0.9291498542241811,-0.5634510690961783
93,93,data/1w_10-05-2019,2,256,513421007944448,12500385.614172835,508273040993792,12938728.402362915,1.0026794523400198,-3.506634128895115
94,94,data/1w_10-05-2019,2,512,1071960877384704,27224026.356293906,1055117361645056,26824073.068038736,1.5712808270336922,1.4691187960986714
95,95,data/1w_10-05-2019,3,32,92055595494272,2512623.155233263,90624132351264,2343780.803401228,1.5549985151060919,6.719764222516698
96,96,data/1w_10-05-2019,3,64,185737983093184,4740039.100014552,182605777231680,4759330.020076586,1.6863572056409082,-0.4069780787668011
97,97,data/1w_10-05-2019,3,128,393973855780736,10127810.303473683,386811904002560,9839394.795009343,1.8178748851197744,2.847757805706709
98,98,data/1w_10-05-2019,3,256,758612360579328,18811035.277909987,746452120328960,18893098.105516747,1.602958359534455,-0.43624833186681267
99,99,data/1w_10-05-2019,3,512,1490481223875584,36805558.90190309,1464801819188736,36903459.79027461,1.7228935377042733,-0.2659948423346931
100,100,data/1w_10-05-2019,4,32,116833687622784,3015674.210752112,114549878051424,2987812.159128939,1.9547526212933033,0.9239078785046956
101,101,data/1w_10-05-2019,4,64,245285606323072,6570171.648343813,238136126645312,6145013.775398597,2.914757121273246,6.471031438765956
102,102,data/1w_10-05-2019,4,128,476879373921024,12132043.938112935,462907074120704,11761346.92817205,2.92994425098242,3.0555198434151456
103,103,data/1w_10-05-2019,4,256,929023357044736,23527160.49227116,911452776371456,22986348.34730357,1.8912959012325359,2.298671550887963
104,104,data/1w_10-05-2019,4,512,1962754118927360,48329252.74030042,1928329059124224,48902399.26422922,1.7539160647360763,-1.1859205169354403
105,105,data/1w_10-05-2019,5,32,149107463483040,3985622.151949258,145591395594112,3816446.7931868364,2.3580763878582975,4.244641170505403
106,106,data/1w_10-05-2019,5,64,291277103229184,7613837.965970305,284453083928128,7360615.378118457,2.3427929024983105,3.3258205517849753
107,107,data/1w_10-05-2019,5,128,601730677490688,15230326.339837754,591434801054464,14872223.594968012,1.711043963914127,2.3512480092633217
108,108,data/1w_10-05-2019,5,256,1129726049665536,28664064.64135935,1105355481544192,27955055.41321007,2.157210425355695,2.4735125217595666
109,109,data/1w_10-05-2019,5,512,2300567431391232,58743049.05024649,2249891313603072,56462087.44567,2.202766026184871,3.882947244746261
